file name,domain reading time,observations reading time,
1-5-2-3-2-full-100_baselineObservations-15,24047123,254346,1
1-5-2-3-2-full-100_baselineObservations-89,15436311,217128,1
1-5-2-3-2-full-100_baselineObservations-87,41609432,263546,1
1-5-2-3-2-full-100_baselineObservations-36,87507841,222503,3
1-5-2-3-2-full-100_baselineObservations-7,18395684,191574,1
1-5-2-3-2-full-100_baselineObservations-40,14042993,202755,1
1-5-2-3-2-full-100_baselineObservations-53,15293472,222452,1
1-5-2-3-2-full-100_baselineObservations-39,34199858,326509,1
1-5-2-3-2-full-100_baselineObservations-43,28084737,343400,1
1-5-2-3-2-full-100_baselineObservations-66,17953767,201473,1
1-5-2-3-2-full-100_baselineObservations-75,29585748,250999,1
1-5-2-3-2-full-100_baselineObservations-68,14222039,851768,1
1-5-2-3-2-full-100_baselineObservations-94,30169122,192461,1
1-5-2-3-2-full-100_baselineObservations-21,41425925,316828,1
1-5-2-3-2-full-100_baselineObservations-97,16072434,203901,1
1-5-2-3-2-full-100_baselineObservations-46,42434513,283089,1
1-5-2-3-2-full-100_baselineObservations-62,14174740,209750,1
1-5-2-3-2-full-100_baselineObservations-52,30435692,3259878,1
1-5-2-3-2-full-100_baselineObservations-11,21812164,178484,1
1-5-2-3-2-full-100_baselineObservations-32,19771096,183909,1
1-5-2-3-2-full-100_baselineObservations-26,22376010,206199,1
1-5-2-3-2-full-100_baselineObservations-88,15768452,189207,1
1-5-2-3-2-full-100_baselineObservations-6,69764062,195150,1
1-5-2-3-2-full-100_baselineObservations-85,40083569,199727,1
1-5-2-3-2-full-100_baselineObservations-54,24173388,215127,1
1-5-2-3-2-full-100_baselineObservations-65,36875975,191777,1
1-5-2-3-2-full-100_baselineObservations-70,16877457,5234342,1
1-5-2-3-2-full-100_baselineObservations-41,23125856,227170,2
1-5-2-3-2-full-100_baselineObservations-82,12180438,194996,1
1-5-2-3-2-full-100_baselineObservations-73,12052430,174138,1
1-5-2-3-2-full-100_baselineObservations-37,13385646,164954,1
1-5-2-3-2-full-100_baselineObservations-4,19992034,180831,1
1-5-2-3-2-full-100_baselineObservations-47,15606458,195277,1
1-5-2-3-2-full-100_baselineObservations-2,8560571,152423,1
1-5-2-3-2-full-100_baselineObservations-10,8907602,192872,1
1-5-2-3-2-full-100_baselineObservations-1,23803536,20309531,1
1-5-2-3-2-full-100_baselineObservations-3,12269682,501882,2
1-5-2-3-2-full-100_baselineObservations-5,20234867,140763,1
1-5-2-3-2-full-100_baselineObservations-95,14892670,194913,1
1-5-2-3-2-full-100_baselineObservations-63,12256041,202004,3
1-5-2-3-2-full-100_baselineObservations-64,13237078,221046,2
1-5-2-3-2-full-100_baselineObservations-72,12170094,199754,2
1-5-2-3-2-full-100_baselineObservations-42,37667729,196495,1
1-5-2-3-2-full-100_baselineObservations-77,14225998,210255,1
1-5-2-3-2-full-100_baselineObservations-51,13135047,159392,2
1-5-2-3-2-full-100_baselineObservations-17,16728120,281007,1
1-5-2-3-2-full-100_baselineObservations-44,15117815,192033,1
1-5-2-3-2-full-100_baselineObservations-91,12397503,172841,1
1-5-2-3-2-full-100_baselineObservations-45,22658313,218255,1
1-5-2-3-2-full-100_baselineObservations-34,17983714,190665,2
1-5-2-3-2-full-100_baselineObservations-99,17376655,192492,1
1-5-2-3-2-full-100_baselineObservations-29,14291240,188582,1
1-5-2-3-2-full-100_baselineObservations-80,25083213,225275,1
1-5-2-3-2-full-100_baselineObservations-83,29157639,170413,1
1-5-2-3-2-full-100_baselineObservations-50,22013144,204690,2
1-5-2-3-2-full-100_baselineObservations-18,26031435,144722,1
1-5-2-3-2-full-100_baselineObservations-27,14824250,181200,1
1-5-2-3-2-full-100_baselineObservations-28,11004957,185661,1
1-5-2-3-2-full-100_baselineObservations-22,13211372,219361,1
1-5-2-3-2-full-100_baselineObservations-69,22894907,210314,1
1-5-2-3-2-full-100_baselineObservations-12,33446486,147392,1
1-5-2-3-2-full-100_baselineObservations-60,34017329,187941,1
1-5-2-3-2-full-100_baselineObservations-58,28513997,187334,1
1-5-2-3-2-full-100_baselineObservations-84,13781298,205235,1
1-5-2-3-2-full-100_baselineObservations-98,35133505,198098,1
1-5-2-3-2-full-100_baselineObservations-78,22786033,196338,1
1-5-2-3-2-full-100_baselineObservations-56,16251102,241654,1
1-5-2-3-2-full-100_baselineObservations-100,16039131,193309,1
1-5-2-3-2-full-100_baselineObservations-79,12370531,209765,1
1-5-2-3-2-full-100_baselineObservations-71,12566589,191313,1
1-5-2-3-2-full-100_baselineObservations-55,33858225,183389,1
1-5-2-3-2-full-100_baselineObservations-13,14210990,265735,1
1-5-2-3-2-full-100_baselineObservations-25,13886740,162595,1
1-5-2-3-2-full-100_baselineObservations-67,13900683,171281,1
1-5-2-3-2-full-100_baselineObservations-30,13988346,198602,1
1-5-2-3-2-full-100_baselineObservations-93,17659833,134654,1
1-5-2-3-2-full-100_baselineObservations-74,10383510,148397,2
1-5-2-3-2-full-100_baselineObservations-19,19991529,204022,1
1-5-2-3-2-full-100_baselineObservations-59,22370937,419984,2
1-5-2-3-2-full-100_baselineObservations-92,20506639,189027,1
1-5-2-3-2-full-100_baselineObservations-9,81058275,193374,1
1-5-2-3-2-full-100_baselineObservations-48,37155719,180924,1
1-5-2-3-2-full-100_baselineObservations-16,23405451,312212,1
1-5-2-3-2-full-100_baselineObservations-61,23996079,205012,1
1-5-2-3-2-full-100_baselineObservations-57,14958035,232036,2
1-5-2-3-2-full-100_baselineObservations-24,19508319,228943,1
1-5-2-3-2-full-100_baselineObservations-96,13224520,183928,1
1-5-2-3-2-full-100_baselineObservations-35,14874631,234693,2
1-5-2-3-2-full-100_baselineObservations-14,14667141,172052,2
1-5-2-3-2-full-100_baselineObservations-86,13883292,189320,1
1-5-2-3-2-full-100_baselineObservations-33,38676396,230983,3
1-5-2-3-2-full-100_baselineObservations-20,17773664,169641,1
1-5-2-3-2-full-100_baselineObservations-76,37334857,188870,1
1-5-2-3-2-full-100_baselineObservations-23,34637187,191207,1
1-5-2-3-2-full-100_baselineObservations-31,37586476,283361,1
1-5-2-3-2-full-100_baselineObservations-38,13214693,188662,1
1-5-2-3-2-full-100_baselineObservations-90,13013823,201676,2
1-5-2-3-2-full-100_baselineObservations-81,12286325,194555,1
1-5-2-3-2-full-100_baselineObservations-49,12203787,186517,1
1-5-2-3-2-full-100_baselineObservations-8,12467243,173907,1
,,,
,,196416.5,
,,497824.27,
