file name,domain reading time,observations reading time,
1-5-2-3-4-full-100_orObservations-15,124965421,776539,1
1-5-2-3-4-full-100_orObservations-89,101567519,641136,1
1-5-2-3-4-full-100_orObservations-87,81459978,455740,1
1-5-2-3-4-full-100_orObservations-36,96400031,440735,2
1-5-2-3-4-full-100_orObservations-7,99020746,361204,5
1-5-2-3-4-full-100_orObservations-40,117045125,446945,3
1-5-2-3-4-full-100_orObservations-53,128505964,1313869,1
1-5-2-3-4-full-100_orObservations-39,89011280,424057,2
1-5-2-3-4-full-100_orObservations-43,84705419,310354,2
1-5-2-3-4-full-100_orObservations-66,109742654,449548,1
1-5-2-3-4-full-100_orObservations-75,107307614,317053,3
1-5-2-3-4-full-100_orObservations-68,99436227,496375,1
1-5-2-3-4-full-100_orObservations-94,71273289,315206,4
1-5-2-3-4-full-100_orObservations-21,88208031,303633,1
1-5-2-3-4-full-100_orObservations-97,67844981,405319,3
1-5-2-3-4-full-100_orObservations-46,99537681,345476,2
1-5-2-3-4-full-100_orObservations-62,95905243,302314,1
1-5-2-3-4-full-100_orObservations-52,79032683,387249,10
1-5-2-3-4-full-100_orObservations-11,111624687,469692,3
1-5-2-3-4-full-100_orObservations-32,89028492,380063,16
1-5-2-3-4-full-100_orObservations-26,109183997,480179,9
1-5-2-3-4-full-100_orObservations-88,93688155,454495,9
1-5-2-3-4-full-100_orObservations-6,124475257,310074,2
1-5-2-3-4-full-100_orObservations-85,80554188,431226,1
1-5-2-3-4-full-100_orObservations-54,70284625,365310,1
1-5-2-3-4-full-100_orObservations-65,94197900,624094,1
1-5-2-3-4-full-100_orObservations-70,95032127,399123,2
1-5-2-3-4-full-100_orObservations-41,83257071,409225,3
1-5-2-3-4-full-100_orObservations-82,100439896,833847,5
1-5-2-3-4-full-100_orObservations-73,82511748,326403,6
1-5-2-3-4-full-100_orObservations-37,83494180,380988,1
1-5-2-3-4-full-100_orObservations-4,120908292,553593,1
1-5-2-3-4-full-100_orObservations-47,70474085,288218,2
1-5-2-3-4-full-100_orObservations-2,118372293,732026,2
1-5-2-3-4-full-100_orObservations-10,64530740,261646,6
1-5-2-3-4-full-100_orObservations-1,104863627,442181,1
1-5-2-3-4-full-100_orObservations-3,97331091,469988,5
1-5-2-3-4-full-100_orObservations-5,108782104,261758,9
1-5-2-3-4-full-100_orObservations-95,105533870,304627,1
1-5-2-3-4-full-100_orObservations-63,93294994,392192,1
1-5-2-3-4-full-100_orObservations-64,85184997,617481,4
1-5-2-3-4-full-100_orObservations-72,105767713,313380,1
1-5-2-3-4-full-100_orObservations-42,89392332,574171,1
1-5-2-3-4-full-100_orObservations-77,89788631,265826,1
1-5-2-3-4-full-100_orObservations-51,91049857,273885,2
