file name,domain reading time,observations reading time
full-20-1-5-1-2-3Observations-15,92707944,408848,3
full-20-1-5-1-2-3Observations-89,22697713,256955,1
full-20-1-5-1-2-3Observations-87,10010384,171466,3
full-20-1-5-1-2-3Observations-36,36770326,137212,3
full-20-1-5-1-2-3Observations-7,14875078,140239,1
full-20-1-5-1-2-3Observations-40,4593691,133230,2
full-20-1-5-1-2-3Observations-53,4853170,130804,1
full-20-1-5-1-2-3Observations-39,7178737,3995018,2
full-20-1-5-1-2-3Observations-43,3524834,124705,1
full-20-1-5-1-2-3Observations-66,3257555,158542,3
full-20-1-5-1-2-3Observations-75,3362237,144351,1
full-20-1-5-1-2-3Observations-68,14914786,156740,5
full-20-1-5-1-2-3Observations-94,3317747,178369,3
full-20-1-5-1-2-3Observations-21,2788458,129169,3
full-20-1-5-1-2-3Observations-97,1968624,125054,1
full-20-1-5-1-2-3Observations-46,2637227,466366,1
full-20-1-5-1-2-3Observations-62,7577838,125121,3
full-20-1-5-1-2-3Observations-52,5511314,139890,7
full-20-1-5-1-2-3Observations-11,2659000,143671,3
full-20-1-5-1-2-3Observations-32,3225296,135389,1
full-20-1-5-1-2-3Observations-26,2157346,139902,1
full-20-1-5-1-2-3Observations-88,5071241,121960,2
full-20-1-5-1-2-3Observations-6,5208977,160421,2
full-20-1-5-1-2-3Observations-85,6362667,147128,5
full-20-1-5-1-2-3Observations-54,2200676,143305,2
full-20-1-5-1-2-3Observations-65,6498529,151806,3
full-20-1-5-1-2-3Observations-70,2708838,162283,2
full-20-1-5-1-2-3Observations-41,3577103,123079,2
full-20-1-5-1-2-3Observations-82,2256099,135362,2
full-20-1-5-1-2-3Observations-73,2001277,128443,3
full-20-1-5-1-2-3Observations-37,2027677,119226,1
full-20-1-5-1-2-3Observations-4,2608296,667560,1
full-20-1-5-1-2-3Observations-47,1979413,152199,1
full-20-1-5-1-2-3Observations-2,2140574,226153,1
full-20-1-5-1-2-3Observations-10,6526947,120071,1
full-20-1-5-1-2-3Observations-1,5632452,149041,1
full-20-1-5-1-2-3Observations-3,2844450,4476773,7
full-20-1-5-1-2-3Observations-5,6230908,151056,2
full-20-1-5-1-2-3Observations-95,1980509,125512,3
full-20-1-5-1-2-3Observations-63,1976579,177397,5
full-20-1-5-1-2-3Observations-64,3814828,149713,3
full-20-1-5-1-2-3Observations-72,2986427,306640,1
full-20-1-5-1-2-3Observations-42,1702228,121219,4
full-20-1-5-1-2-3Observations-77,1591345,128658,2
full-20-1-5-1-2-3Observations-51,2035814,134610,4
full-20-1-5-1-2-3Observations-17,1882473,116946,1
full-20-1-5-1-2-3Observations-44,4074080,138462,4
full-20-1-5-1-2-3Observations-91,1657725,127206,1
full-20-1-5-1-2-3Observations-45,1845615,393221,1
full-20-1-5-1-2-3Observations-34,3805841,164603,1
full-20-1-5-1-2-3Observations-99,2334013,131818,2
full-20-1-5-1-2-3Observations-29,6502532,186959,1
full-20-1-5-1-2-3Observations-80,46645543,109240,1
full-20-1-5-1-2-3Observations-83,1967068,135172,1
full-20-1-5-1-2-3Observations-50,1501548,99035,3
full-20-1-5-1-2-3Observations-18,5801217,132529,6
full-20-1-5-1-2-3Observations-27,1337452,90959,5
full-20-1-5-1-2-3Observations-28,1928804,132703,3
full-20-1-5-1-2-3Observations-22,1734289,132237,7
full-20-1-5-1-2-3Observations-69,1519565,376925,1
full-20-1-5-1-2-3Observations-12,1494842,107329,1
full-20-1-5-1-2-3Observations-60,1459306,93428,2
full-20-1-5-1-2-3Observations-58,2084995,771745,3
full-20-1-5-1-2-3Observations-84,1789649,103212,1
full-20-1-5-1-2-3Observations-98,1249048,115477,1
full-20-1-5-1-2-3Observations-78,1473079,486945,2
full-20-1-5-1-2-3Observations-56,1420126,93936,4
full-20-1-5-1-2-3Observations-100,1485864,102507,1
full-20-1-5-1-2-3Observations-79,1460899,97072,1
full-20-1-5-1-2-3Observations-71,1584719,106200,2
full-20-1-5-1-2-3Observations-55,1664839,103875,1
full-20-1-5-1-2-3Observations-13,1466738,101679,3
full-20-1-5-1-2-3Observations-25,2202260,144409,1
full-20-1-5-1-2-3Observations-67,1543597,164641,3
full-20-1-5-1-2-3Observations-30,1534435,200706,2
full-20-1-5-1-2-3Observations-93,3167537,176359,2
full-20-1-5-1-2-3Observations-74,6621547,417726,3
full-20-1-5-1-2-3Observations-19,2541787,133019,3
full-20-1-5-1-2-3Observations-59,1430825,90190,1
full-20-1-5-1-2-3Observations-92,3782006,105024,4
full-20-1-5-1-2-3Observations-9,5035124,178572,4
full-20-1-5-1-2-3Observations-48,8127711,638574,5
full-20-1-5-1-2-3Observations-16,2915963,134418,2
full-20-1-5-1-2-3Observations-61,1671378,426598,1
full-20-1-5-1-2-3Observations-57,4399127,159235,3
full-20-1-5-1-2-3Observations-24,1624162,117335,5
full-20-1-5-1-2-3Observations-96,1379764,104573,1
full-20-1-5-1-2-3Observations-35,1314524,82091,3
full-20-1-5-1-2-3Observations-14,1694388,101067,4
full-20-1-5-1-2-3Observations-86,1762440,99548,1
full-20-1-5-1-2-3Observations-33,1860946,96934,2
full-20-1-5-1-2-3Observations-20,1301234,82980,1
full-20-1-5-1-2-3Observations-76,6504055,272817,2
full-20-1-5-1-2-3Observations-23,4027649,115435,5
full-20-1-5-1-2-3Observations-31,1428531,11527288,2
full-20-1-5-1-2-3Observations-38,1115639,103584,1
full-20-1-5-1-2-3Observations-90,8877320,110388,2
full-20-1-5-1-2-3Observations-81,1438061,86232,3
full-20-1-5-1-2-3Observations-49,6982249,1371264,1
full-20-1-5-1-2-3Observations-8,1496473,120146,5
