file name,domain reading time,observations reading time,
full-20-1-5-3-2-1Observations-15,5106127,411867,4
full-20-1-5-3-2-1Observations-89,4843030,386998,4
full-20-1-5-3-2-1Observations-87,12287079,401369,1
full-20-1-5-3-2-1Observations-36,5280177,361455,1
full-20-1-5-3-2-1Observations-7,4530170,1129267,1
full-20-1-5-3-2-1Observations-40,16654790,384640,1
full-20-1-5-3-2-1Observations-53,87098079,426394,1
full-20-1-5-3-2-1Observations-39,25730778,3840817,3
full-20-1-5-3-2-1Observations-43,10168347,372106,1
full-20-1-5-3-2-1Observations-66,4233139,280275,1
full-20-1-5-3-2-1Observations-75,21645730,468370,3
full-20-1-5-3-2-1Observations-68,4275038,388361,1
full-20-1-5-3-2-1Observations-94,5876533,371761,2
full-20-1-5-3-2-1Observations-21,22463100,401724,1
full-20-1-5-3-2-1Observations-97,15879900,418407,3
full-20-1-5-3-2-1Observations-46,14777092,357494,1
full-20-1-5-3-2-1Observations-62,18060415,388174,5
full-20-1-5-3-2-1Observations-52,10215268,419146,1
full-20-1-5-3-2-1Observations-11,19465399,922074,6
full-20-1-5-3-2-1Observations-32,4646317,744366,1
full-20-1-5-3-2-1Observations-26,5285602,420797,1
full-20-1-5-3-2-1Observations-88,5302568,853857,2
full-20-1-5-3-2-1Observations-6,4908521,385079,1
full-20-1-5-3-2-1Observations-85,6080106,357954,2
full-20-1-5-3-2-1Observations-54,4738104,6679147,1
full-20-1-5-3-2-1Observations-65,5394227,361424,2
full-20-1-5-3-2-1Observations-70,40878238,374833,1
full-20-1-5-3-2-1Observations-41,11906430,6937218,2
full-20-1-5-3-2-1Observations-82,18275056,331765,1
full-20-1-5-3-2-1Observations-73,16366369,468676,1
full-20-1-5-3-2-1Observations-37,28615252,373953,1
full-20-1-5-3-2-1Observations-4,8761670,314913,1
full-20-1-5-3-2-1Observations-47,8808544,374117,7
full-20-1-5-3-2-1Observations-2,66613813,317137,1
full-20-1-5-3-2-1Observations-10,4214778,9109900,10
full-20-1-5-3-2-1Observations-1,11465034,338353,1
full-20-1-5-3-2-1Observations-3,6993624,466300,1
full-20-1-5-3-2-1Observations-5,4833445,329098,1
full-20-1-5-3-2-1Observations-95,4277510,300925,2
full-20-1-5-3-2-1Observations-63,4323833,1857902,1
full-20-1-5-3-2-1Observations-64,4718332,324449,1
full-20-1-5-3-2-1Observations-72,4317602,329960,6
full-20-1-5-3-2-1Observations-42,68781549,3559947,1
